peso_entrevista,peso_examen_mec
47193.495482,73808.970678
104141.324619,133024.992584
25952.842574,32321.972175
26985.139818,30928.278581
37704.855084,80078.139838
30717.509354,44555.623814
11627.557174,12485.245308
19233.056227,25274.090384
17721.303392,25016.305572
47883.623387,55150.744701
148948.963231,196966.361811
28731.19161,36346.50825
29175.97952,36284.179367
86197.851373,133017.033494
75328.344522,103211.262503
22666.300858,30846.238909
39912.685634,53021.118662
9273.538669,12202.433098
12420.798056,17995.607158
18534.290645,22903.910968
23228.75048,32352.798329
21043.246562,26065.480602
10506.926461,14381.14963
9235.345402,15990.230655
28867.001782,35618.14734
39755.105831,48146.102742
31358.711397,30833.586087
46363.438204,54019.481381
106670.123599,108900.194579
15152.638431,21475.716362
13025.936381,13739.857867
68473.860733,83333.45778
26401.919856,32191.172068
14102.335602,28594.934981
54424.985151,67889.629946
14123.405177,24681.091782
23819.0096,64829.086776
18128.882035,26658.040007
20782.639952,30758.745945
59880.81271,83807.425064
37382.528112,42481.950949
83799.917122,122641.914003
29766.024631,53989.662188
55632.65388,72324.74028
36041.42062,34772.014569
8184.181882,11873.148327
23585.530942,34706.264401
18775.931958,18317.748006
65476.376104,81082.008536
17245.689985,18191.050925
15149.054618,16645.657979
38773.639708,49981.102475
10475.621413,13152.455675
30357.537908,30854.639212
13084.270347,15075.999686
33118.953653,41004.316682
14662.438877,19312.560024
85787.721587,91475.94529
31985.621428,72252.985433
14721.438228,24989.313281
52142.062808,87279.958029
34484.917741,37060.606088
17577.313424,16246.341567
11576.330101,14861.583826
76862.585691,113360.934718
33642.585867,51697.209069
166986.305096,218609.894398
56886.997971,68790.812949
22279.84764,19614.835072
16480.436485,17940.007233
37549.207151,42961.99879
53350.551233,70324.920707
22392.205173,32274.710606
18935.956721,21809.09187
24623.22749,27358.11521
26147.168203,32668.993354
38536.727903,44470.957951
20144.941684,38490.930514
24169.361072,33360.911071
8042.234321,8722.739626
12888.779282,16718.788603
33106.176223,42996.079322
18624.213656,29932.452503
17538.94237,23050.852724
50202.806428,48039.692492
20553.981359,27822.884178
34430.752857,36523.40076
22496.858238,25994.518214
15772.186699,20211.663655
21532.548533,37277.480156
17780.697282,20607.915294
62183.366946,69514.068215
26739.95293,38954.802976
120273.738021,162417.934084
20794.074939,21514.553005
46850.717765,56401.546735
65639.49025,57642.682448
44746.386139,64422.923986
12796.821145,19665.659293
19918.116041,20180.229927
14195.686665,15253.385825
48691.513822,62644.487369
34059.088522,42913.446957
21091.797216,31895.774371
31546.985957,37632.965682
4584.463196,5424.587296
80505.974839,108166.118042
15699.821685,26266.87717
13054.909829,19791.88229
68907.164951,100342.967529
43269.193725,45775.464173
64606.82467,99251.722505
74336.867393,116356.170085
19287.054911,19584.771003
17778.922063,20726.619178
14335.663781,15129.697073
45431.73189,69127.230412
54534.706959,73606.722014
14299.163873,15753.748096
25836.850061,29236.932186
9511.153808,13127.833497
14272.331907,17528.271562
46526.08325,53855.999269
52172.309404,49789.426292
53558.195158,57646.070353
72223.193693,79410.532115
35961.432652,41716.873614
11086.886917,15481.600794
97511.620802,124210.685277
37681.133079,56756.856733
39096.738389,43700.572809
90613.911715,162250.214001
56031.403951,75252.300827
13132.611979,13220.966047
21871.440223,30112.976604
18893.317561,29290.422452
31583.183295,27867.434489
45817.716987,52506.135848
13477.691015,13779.265326
23363.115668,29233.073977
73050.002836,100601.592293
19271.669052,23367.488759
15797.101354,19115.039482
22795.614527,22263.646092
24990.48034,33361.753047
46925.484114,65633.77009
15920.206132,22782.430235
43251.664872,45934.624274
9052.053313,12802.174351
13020.849652,14665.698108
61799.67968,86986.953046
17998.964289,23231.150561
15299.765495,16153.340816
28981.956759,26427.505385
24262.164501,25318.388872
14237.643307,12778.168411
47763.456841,53828.96505
22190.5561,31170.2486
31292.03481,52101.997503
19755.937892,21038.594171
11706.234522,12432.472976
15154.154736,19000.829299
11444.495804,12154.496353
51330.878504,61513.287823
17427.476036,18259.354794
9196.642004,19217.127416
46807.994471,53049.806112
18688.741667,27661.017123
36311.541926,44174.504568
19560.519872,27561.518889
37385.702515,46038.376367
38720.341506,46268.542526
87510.098401,123391.724562
38092.693082,64921.093567
10869.307542,18048.922835
51204.479849,59216.585787
70023.827734,77254.871225
27896.482895,41827.275954
79042.504732,84759.032792
55923.699889,86566.007616
14019.169711,17049.134688
60499.534608,77238.106493
83125.938927,98423.635554
68024.248972,76842.315227
22801.496874,25260.055528
30698.944151,33270.168206
54440.607525,63926.655107
16802.870658,19150.80803
60958.329746,74420.620319
35336.013075,46779.964042
34956.266028,40867.653576
54488.957404,59276.356115
60549.864689,71762.942274
62318.694486,107871.094817
13895.248723,18528.220036
12894.757635,16167.915199
28820.226235,32734.062326
20667.734944,40848.690416
37921.531486,69444.577875
23100.195606,34328.504575
24880.536951,24215.88102
10952.437578,15839.762188
40224.790525,47887.87314
15214.229774,21736.194601
27634.35474,31429.607344
14687.05627,21556.124002
19341.924455,26911.851398
35085.096492,43923.969602
12268.818657,17744.923981
79857.526148,100323.284719
31786.054969,37260.812993
36580.628315,53052.024277
25999.742119,37310.688013
14730.039129,18240.775187
15034.062348,15135.209063
29913.169635,34273.592802
31774.903007,30323.637372
60918.058922,112868.955472
6788.60512,8710.846583
16467.072216,23042.956504
24282.813848,29029.50256
16908.362286,24963.480016
11559.805746,16370.144899
41028.098356,38590.800272
56199.792935,63071.006325
26402.803057,24834.329161
17921.271884,25750.078804
39171.872888,51263.504741
94498.654138,121380.489142
64484.714381,71537.227917
53641.988927,69328.483269
9525.910343,10116.884528
53753.496893,87710.161419
17656.533985,17344.791369
30925.290468,38026.480785
79083.301218,77700.553039
39508.39033,39968.541341
27720.27813,30593.505823
10125.699858,14779.620257
16681.331139,22516.190846
41660.71385,56007.009853
18703.033462,19750.850086
54835.965997,59036.787917
15197.292503,21717.84916
37592.163604,43877.128286
47620.733236,62588.605421
12811.238779,14219.150256
12661.362382,15623.464548
14105.332211,15039.823246
15661.335861,18415.204767
22829.096421,42276.289992
18243.336972,25925.12034
32073.783841,55113.271059
45517.396956,44817.520655
67999.845493,89645.849838
27940.991119,32318.404732
15248.2724,16083.33336
91464.01199,127064.540989
47971.585972,74140.771881
56100.32385,58730.016527
26376.606006,33139.131398
24765.532539,28286.223862
70718.326779,85026.241765
47842.930599,57725.2559
64454.267216,74914.833708
73693.992501,112759.669282
37754.908252,48765.52177
40840.339411,45948.752552
13630.177015,14671.392812
23402.607471,27278.162248
17949.707219,24505.493415
38485.020569,50792.776324
33893.90834,47370.114242
