modelo,pareto_idx,n_variables,precision_cv,recall_cv,accuracy_test,precision_test,recall_test,f1_test,custom_score_test,TN,FP,FN,TP,selected_features
SVC,127,22,0.5584206655635227,0.7726188863297656,0.6180555555555556,0.5653495440729484,0.7072243346007605,0.6283783783783784,0.6220994602840733,170,143,77,186,"['imc', 'estado_examen_balance_1', 'eritrocitos_totales', 'medicacion_osteoporosis_1', 'trigliceridos_mmol_l', 'hdl_mmol_l', 'pais_nacimiento_1', 'albumina_orina_mg_l', 'ratio_albumina_creatinina', 'ratio_iqr_mediana', 'raza_etnia_7.0', 'periodo_examen_1', ""tipo_sonda_elasto_b'XL'"", 'eosinofilos_abs', 'edad_an', 'raza_etnia_2.0', 'tamano_hogar', 'elegibilidad_balance_1', 'fracturas_1', 'genero_1', 'tamano_manguito_pa_3.0', 'ldl_martin_mmol_l']"
SVC,87,11,0.544815223386652,0.7759653163527978,0.6128472222222222,0.5595238095238095,0.714828897338403,0.6277128547579299,0.6216458446496469,165,148,75,188,"['caidas_1', 'ratio_albumina_creatinina', 'peso_kg', 'periodo_examen_1', 'edad_an', 'rigidez_iqr', 'eritrocitos_totales', 'ratio_iqr_mediana', 'medicacion_osteoporosis_1', 'trigliceridos_mmol_l', 'raza_etnia_6.0']"
SVC,154,29,0.6372035300606729,0.7347242921013413,0.6388888888888888,0.5938566552901023,0.6615969581749049,0.6258992805755396,0.6209527764440234,194,119,89,174,"['tamano_manguito_pa_4.0', 'tiempo_seg_cond1', 'fracturas_1', 'psu', 'eritrocitos_totales', 'raza_etnia_4.0', 'albumina_orina_mg_l', 'hdl_mmol_l', 'peso_kg', 'edad_an', 'volumen_plaquetario_medio', 'pulso', 'ratio_albumina_creatinina', 'eosinofilos_abs', 'rigidez_iqr', 'aprueba_cond4_1', 'manganeso_sangre_nmol_l', 'caidas_1', 'neutrofilos_abs', 'tamano_manguito_pa_3.0', 'rigidez_mediana_kpa', 'periodo_examen_1', 'cadmio_sangre_nmol_l', 'trigliceridos_mmol_l', 'raza_etnia_3.0', 'ldl_martin_mmol_l', 'ratio_iqr_mediana', 'elegibilidad_balance_1', 'tamano_manguito_pa_5.0']"
LogisticRegression,78,3,0.17927008641294356,0.846768730524319,0.4878472222222222,0.4666666666666667,0.8517110266159695,0.6029609690444145,0.6206844106463878,57,256,39,224,"['raza_etnia_2.0', 'fracturas_1', 'estado_examen_balance_1']"
LogisticRegression,144,3,0.17927008641294356,0.846768730524319,0.4878472222222222,0.4666666666666667,0.8517110266159695,0.6029609690444145,0.6206844106463878,57,256,39,224,"['raza_etnia_2.0', 'estado_examen_balance_1', 'fracturas_1']"
SVC,23,22,0.5855947784519213,0.7627692724563067,0.6145833333333334,0.5619335347432024,0.7072243346007605,0.6262626262626263,0.6200498546862256,168,145,77,186,"['eosinofilos_abs', 'edad_an', 'raza_etnia_6.0', 'trigliceridos_mmol_l', 'ratio_albumina_creatinina', 'peso_kg', 'hdl_mmol_l', 'ldl_martin_mmol_l', 'albumina_orina_mg_l', 'monocitos_abs', 'plaquetas_totales', 'creatinina_orina_umol_l', ""tipo_sonda_elasto_b'M'"", 'convulsiones_1', 'cap_iqr', 'imc', 'elegibilidad_balance_1', 'cadmio_sangre_nmol_l', 'raza_etnia_2.0', 'tiempo_seg_cond3', 'pais_nacimiento_1', 'fracturas_1']"
SVC,17,2,0.1670711527854385,0.8615905703834169,0.4930555555555556,0.4692144373673036,0.8403041825095057,0.6021798365122616,0.6176503354241845,63,250,42,221,"['raza_etnia_2.0', 'caidas_1']"
SVC,19,2,0.1670711527854385,0.8615905703834169,0.4930555555555556,0.4692144373673036,0.8403041825095057,0.6021798365122616,0.6176503354241845,63,250,42,221,"['raza_etnia_2.0', 'caidas_1']"
SVC,168,2,0.1670711527854385,0.8615905703834169,0.4930555555555556,0.4692144373673036,0.8403041825095057,0.6021798365122616,0.6176503354241845,63,250,42,221,"['raza_etnia_2.0', 'caidas_1']"
SVC,188,2,0.1670711527854385,0.8615905703834169,0.4930555555555556,0.4692144373673036,0.8403041825095057,0.6021798365122616,0.6176503354241845,63,250,42,221,"['raza_etnia_2.0', 'caidas_1']"
